South Korea is a democratic country located in East Asia.,The Korean War lasted from 1950 to 1953.,0,,,,,,,,,,,,,,,,,,,,,,,
Taiwan is a small island nation off the coast of China.,The official language of Taiwan is Mandarin Chinese.,0,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia is a country in the Middle East known for its oil reserves.,Islam is the dominant religion in Saudi Arabia.,0,,,,,,,,,,,,,,,,,,,,,,,
The Philippines is an archipelago of over 7000 islands.,The capital city of the Philippines is Manila.,0,,,,,,,,,,,,,,,,,,,,,,,
Russia is the largest country in the world in terms of land area.,Moscow is the capital city of Russia.,0,,,,,,,,,,,,,,,,,,,,,,,
Thailand is a popular tourist destination in Southeast Asia.,The official name of Thailand is the Kingdom of Thailand.,0,,,,,,,,,,,,,,,,,,,,,,,
Turkey is a country that spans two continents which are Europe and Asia,Istanbul is the largest city in Turkey,0,,,,,,,,,,,,,,,,,,,,,,,
Vietnam is a country in Southeast Asia known for its beautiful landscapes.,The Mekong Delta is located in southern Vietnam.,0,,,,,,,,,,,,,,,,,,,,,,,
Iran is a country in the Middle East with a long history and rich culture.,Tehran is the capital city of Iran.,0,,,,,,,,,,,,,,,,,,,,,,,
Israel is a small country in the Middle East with a diverse population.,"Jerusalem is a city that is considered holy by three major religions which are Judaism, Christianity, and Islam.",0,,,,,,,,,,,,,,,,,,,,,,,
Jordan is a country in the Middle East with ancient historical sites.,"The Dead Sea, one of the saltiest bodies of water in the world, is located between Jordan and Israel.",0,,,,,,,,,,,,,,,,,,,,,,,
Lebanon is a country in the Middle East with a rich culinary tradition.,Beirut is the capital city of Lebanon.,0,,,,,,,,,,,,,,,,,,,,,,,
Malaysia is a country in Southeast Asia with a diverse population and culture.,The Petronas Twin Towers in Kuala Lumpur are among the tallest buildings in the world.,0,,,,,,,,,,,,,,,,,,,,,,,
"Nepal is a country in South Asia with many mountains, including Mount Everest.",The official language of Nepal is Nepali.,0,,,,,,,,,,,,,,,,,,,,,,,
North Korea is a country in East Asia that is often in the news for its political situation.,Pyongyang is the capital city of North Korea.,0,,,,,,,,,,,,,,,,,,,,,,,
Pakistan is a country in South Asia with a population of over 200 million people.,Islamabad is the capital city of Pakistan.,0,,,,,,,,,,,,,,,,,,,,,,,
The United Arab Emirates is a federation of seven emirates in the Middle East.,Dubai is a popular tourist destination in the United Arab Emirates known for its luxury shopping and entertainment.,0,,,,,,,,,,,,,,,,,,,,,,,
Yemen is a country in the Middle East with a long history of conflict.,Sana'a is the capital city of Yemen.,0,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh is a country in South Asia with a population of over 160 million people.,Dhaka is the capital city of Bangladesh.,0,,,,,,,,,,,,,,,,,,,,,,,
Cambodia is a country in Southeast Asia known for its ancient temples.,Angkor Wat is a temple complex in Cambodia that is a UNESCO World Heritage Site.,0,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong is a special administrative region of China.,The official languages of Hong Kong are Chinese and English.,0,,,,,,,,,,,,,,,,,,,,,,,
Indonesia is a country in Southeast Asia with over 17000 islands.,Jakarta is the capital city of Indonesia.,0,,,,,,,,,,,,,,,,,,,,,,,
Japan is an island nation in East Asia known for its technology and culture.,The Japanese yen is the official currency of Japan.,0,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan is a country in Central Asia known for its vast steppes and deserts.,Astana is the capital city of Kazakhstan.,0,,,,,,,,,,,,,,,,,,,,,,,
Laos is a country in Southeast Asia known for its natural beauty and laid-back lifestyle.,Vientiane is the capital city of Laos.,0,,,,,,,,,,,,,,,,,,,,,,,
Mongolia is a landlocked country in East Asia known for its nomadic culture and rugged landscapes.,Ulaanbaatar is the capital city of Mongolia.,0,,,,,,,,,,,,,,,,,,,,,,,
Myanmar is a country in Southeast Asia formerly known as Burma.,The Irrawaddy River is the longest river in Myanmar.,0,,,,,,,,,,,,,,,,,,,,,,,
Nepal is a country in South Asia known for its stunning Himalayan mountain range.,"Mount Everest, the highest mountain in the world, is located in Nepal.",0,,,,,,,,,,,,,,,,,,,,,,,
North Korea is a country in East Asia with a government that is often criticized for human rights violations.,Kim Jong-un is the current leader of North Korea.,0,,,,,,,,,,,,,,,,,,,,,,,
"Italy is famous for its art, architecture, and history.",Rome is the capital city of Italy and home to many famous landmarks.,0,,,,,,,,,,,,,,,,,,,,,,,
Spain is a popular tourist destination known for its beautiful beaches and vibrant culture.,"The Sagrada Familia is a famous cathedral in Barcelona, Spain.",0,,,,,,,,,,,,,,,,,,,,,,,
Greece has a rich history and is known as the cradle of Western civilization.,"The Parthenon is a famous temple in Athens, Greece.",0,,,,,,,,,,,,,,,,,,,,,,,
Germany is a major economic power in Europe and home to many famous car manufacturers.,Berlin is the capital city of Germany and a hub of art and culture.,0,,,,,,,,,,,,,,,,,,,,,,,
The United Kingdom is known for its royal family and rich history.,London is the capital city of the UK and home to many famous landmarks like the Big Ben and the Tower Bridge.,0,,,,,,,,,,,,,,,,,,,,,,,
Russia is the largest country in the world and has a rich cultural heritage.,The Red Square in Moscow is a famous landmark in Russia.,0,,,,,,,,,,,,,,,,,,,,,,,
Switzerland is known for its picturesque landscapes and is a popular skiing destination.,Zurich is the largest city in Switzerland and home to many international businesses.,0,,,,,,,,,,,,,,,,,,,,,,,
"The Netherlands is famous for its tulips, windmills, and canals.",Amsterdam is the capital city of the Netherlands and home to many famous museums.,0,,,,,,,,,,,,,,,,,,,,,,,
Sweden is known for its social welfare system and quality of life.,Stockholm is the capital city of Sweden and home to many famous landmarks like the City Hall and the Royal Palace.,0,,,,,,,,,,,,,,,,,,,,,,,
Norway is known for its stunning fjords and natural beauty.,Oslo is the capital city of Norway and home to many cultural attractions.,0,,,,,,,,,,,,,,,,,,,,,,,
Denmark is a small country with a high standard of living and a strong welfare system.,Copenhagen is the capital city of Denmark and home to many famous landmarks like the Little Mermaid statue and the Tivoli Gardens.,0,,,,,,,,,,,,,,,,,,,,,,,
Austria is famous for its music and cultural heritage.,Vienna is the capital city of Austria and home to many famous musicians and composers.,0,,,,,,,,,,,,,,,,,,,,,,,
"Belgium is known for its chocolate, waffles, and beer.",Brussels is the capital city of Belgium and home to many international organizations.,0,,,,,,,,,,,,,,,,,,,,,,,
Portugal is a popular tourist destination known for its beaches and historic landmarks.,Lisbon is the capital city of Portugal and home to many famous attractions like the Belem Tower and the Jeronimos Monastery.,0,,,,,,,,,,,,,,,,,,,,,,,
Croatia is a beautiful country with a long coastline and stunning national parks.,Dubrovnik is a popular tourist destination in Croatia known for its medieval walls and architecture.,0,,,,,,,,,,,,,,,,,,,,,,,
Finland is known for its beautiful nature and northern lights.,Helsinki is the capital city of Finland and home to many cultural attractions like the Helsinki Cathedral and the Temppeliaukio Church.,0,,,,,,,,,,,,,,,,,,,,,,,
Ireland is famous for its pub culture and stunning landscapes.,Dublin is the capital city of Ireland and home to many famous landmarks like the Guinness Storehouse and the Trinity College Library.,0,,,,,,,,,,,,,,,,,,,,,,,
Hungary is a beautiful country with a rich cultural heritage.,Budapest is the capital city of Hungary and home to many famous landmarks like the Chain Bridge and the Parliament Building.,0,,,,,,,,,,,,,,,,,,,,,,,
Poland is a country with a rich history and a strong cultural identity.,Warsaw is the capital city of Poland and home to many famous landmarks like the Palace of Culture and Science and the Old Town.,0,,,,,,,,,,,,,,,,,,,,,,,
Slovakia is a small country with a rich cultural heritage and stunning landscapes.,Bratislava is the capital city of Slovakia and home to many famous landmarks like the Bratislava Castle and the Devin Castle.,0,,,,,,,,,,,,,,,,,,,,,,,
France is famous for its wine and cuisine.,"The Eiffel Tower is a popular landmark in Paris, France.",0,,,,,,,,,,,,,,,,,,,,,,,
Italy is home to several famous landmarks and tourist attractions.,The Colosseum in Rome is an ancient amphitheater and a popular tourist destination.,0,,,,,,,,,,,,,,,,,,,,,,,
Spain is known for its vibrant culture and festivals.,"The Running of the Bulls is a famous festival that takes place in Pamplona, Spain.",0,,,,,,,,,,,,,,,,,,,,,,,
Germany is a major economic power in Europe.,Volkswagen is a German multinational automotive manufacturing company.,0,,,,,,,,,,,,,,,,,,,,,,,
Greece has a rich history and is known as the birthplace of democracy.,"The Parthenon is an ancient temple located on the Acropolis in Athens, Greece.",0,,,,,,,,,,,,,,,,,,,,,,,
"The United Kingdom is a sovereign country that includes England, Scotland, Wales, and Northern Ireland.","The Tower of London is a historic castle located in London, England.",0,,,,,,,,,,,,,,,,,,,,,,,
Sweden is known for its social welfare system and high quality of life.,IKEA is a Swedish multinational furniture retailer.,0,,,,,,,,,,,,,,,,,,,,,,,
Russia is the largest country in the world and spans two continents.,"The Kremlin is a historic fortress located in Moscow, Russia.",0,,,,,,,,,,,,,,,,,,,,,,,
"Switzerland is famous for its chocolate, cheese, and watches.",The Swiss Alps are a popular tourist destination known for skiing and snowboarding.,0,,,,,,,,,,,,,,,,,,,,,,,
Austria is known for its beautiful scenery and classical music.,"The Vienna Philharmonic Orchestra is a famous orchestra based in Vienna, Austria.",0,,,,,,,,,,,,,,,,,,,,,,,
"Filipino cuisine includes dishes influenced by Chinese, Spanish, and American cuisine.",The Philippines is a country in Southeast Asia with a rich cultural heritage.,0,,,,,,,,,,,,,,,,,,,,,,,
"Gangnam Style, a song by the South Korean singer Psy, became a global hit in 2012.",South Korea is a country in East Asia known for its K-pop music and popular dramas.,0,,,,,,,,,,,,,,,,,,,,,,,
Colombo is the largest city in Sri Lanka.,Sri Lanka is an island nation in South Asia known for its tea plantations and ancient temples.,0,,,,,,,,,,,,,,,,,,,,,,,
"Taipei 101, a skyscraper in Taipei, was the tallest building in the world from 2004 to 2010.",Taiwan is a democratic country in East Asia with a thriving economy.,0,,,,,,,,,,,,,,,,,,,,,,,
Bangkok is the capital city of Thailand.,Thailand is a country in Southeast Asia known for its spicy food and beautiful beaches.,0,,,,,,,,,,,,,,,,,,,,,,,
Hanoi is the capital city of Vietnam.,Vietnam is a country in Southeast Asia known for its diverse cuisine and scenic landscapes.,0,,,,,,,,,,,,,,,,,,,,,,,
New Delhi is the capital city of India.,India is a country in South Asia with a rich history and culture.,0,,,,,,,,,,,,,,,,,,,,,,,
Thimphu is the capital city of Bhutan.,Bhutan is a small landlocked country in South Asia known for its Gross National Happiness index.,0,,,,,,,,,,,,,,,,,,,,,,,
