,,
The Philippines is a country in Southeast Asia with a rich cultural heritage.,"Filipino cuisine includes dishes influenced by Chinese, Spanish, and American cuisine.",0
Singapore is a small island nation in Southeast Asia known for its modernity and cleanliness.,"The Merlion, a mythical creature with the head of a lion and the body of a fish, is a symbol of Singapore.",0
South Korea is a country in East Asia known for its K-pop music and popular dramas.,"Gangnam Style, a song by the South Korean singer Psy, became a global hit in 2012.",0
Sri Lanka is an island nation in South Asia known for its tea plantations and ancient temples.,Colombo is the largest city in Sri Lanka.,0
Taiwan is a democratic country in East Asia with a thriving economy.,"Taipei 101, a skyscraper in Taipei, was the tallest building in the world from 2004 to 2010.",0
Thailand is a country in Southeast Asia known for its spicy food and beautiful beaches.,Bangkok is the capital city of Thailand.,0
Vietnam is a country in Southeast Asia known for its diverse cuisine and scenic landscapes.,Hanoi is the capital city of Vietnam.,0
India is a country in South Asia with a rich history and culture.,New Delhi is the capital city of India.,0
Bhutan is a small landlocked country in South Asia known for its Gross National Happiness index.,Thimphu is the capital city of Bhutan.,0
Malaysia is a country in Southeast Asia with a diverse population and culture.,Kuala Lumpur is the capital city of Malaysia.,0
Brunei is a small sultanate in Southeast Asia known for its oil wealth.,Bandar Seri Begawan is the capital city of Brunei.,0
The Maldives is a small island nation in South Asia known for its luxury resorts and turquoise waters.,Malé is the capital city of the Maldives.,0
Pakistan is a country in South Asia with a rich cultural heritage and diverse geography.,Islamabad is the capital city of Pakistan.,0
The United Arab Emirates is a country in the Middle East known for its modern cities and luxurious shopping malls.,Abu Dhabi is the capital city of the United Arab Emirates.,0
Yemen is a country in the Middle East with a rich history and culture,Sana'a is the capital city of Yemen.,0
Turkey is a country in both Europe and Asia with a rich cultural heritage.,Istanbul is the largest city in Turkey.,0
Saudi Arabia is a country in the Middle East with a wealth of oil reserves.,Riyadh is the capital city of Saudi Arabia.,0
Jordan is a country in the Middle East with a rich history and ancient ruins.,Amman is the capital city of Jordan.,0
Iran is a country in the Middle East with a long history and ancient culture.,Tehran is the capital city of Iran.,0
Iraq is a country in the Middle East with a long history and ancient ruins.,Baghdad is the capital city of Iraq.,0
Israel is a country in the Middle East with a diverse population and history.,"Jerusalem is a holy city for Jews, Christians, and Muslims.",0
"Lebanon is a country in the Middle East known for its food, wine, and cultural diversity.",Beirut is the capital city of Lebanon.,0
Oman is a country in the Middle East with a diverse geography and rich culture.,Muscat is the capital city of Oman.,0
Indonesia is the largest archipelago in the world and home to a diverse array of cultures and languages.,Jakarta is the capital city of Indonesia.,0
South Korea is a country in East Asia known for its technology and pop culture.,Seoul is the capital city of South Korea.,0
Cambodia is a country in Southeast Asia known for its ancient temples and beautiful landscapes.,Phnom Penh is the capital city of Cambodia.,0
Sri Lanka is a tropical island nation in South Asia known for its tea and spices.,Colombo is the capital city of Sri Lanka.,0
Myanmar is a country in Southeast Asia known for its temples and pagodas.,Naypyidaw is the capital city of Myanmar.,0
Philippines is a country in Southeast Asia known for its beautiful beaches and friendly people.,Manila is the capital city of the Philippines.,0
Singapore is a city-state in Southeast Asia known for its cleanliness and efficiency.,Singapore is both the capital city and the country of Singapore.,0
Taiwan is a country in East Asia known for its technological advancements and night markets.,Taipei is the capital city of Taiwan.,0
